title,price,rating,reviews,availability
"NYDJ Women's Teresa Trouser Wide Leg Jeans in Premium Denim - Elegant Trouser Jeans for Women, Perfect for Any Wardrobe",$35.98,4.2 out of 5 stars,"1,125 ratings",Not Available
Women's Jeans 90s Mid Rise Bootcut Jeans High Stretch Black Jeans Pantalones De Mujer Boot Cut Denim Pants,$37.99,4.0 out of 5 stars,"1,419 ratings",Not Available
Levi's Women's New Boyfriend Jeans (Also Available in Plus),$39.99,4.2 out of 5 stars,"9,046 ratings",Not Available
Lee Women’s Instantly Slims Classic Relaxed Fit Monroe Straight Leg Jean,$18.35,4.2 out of 5 stars,"28,264 ratings",Not Available
Gloria Vanderbilt Women's Amanda Capri Jean,$24.99,4.3 out of 5 stars,"4,770 ratings",Not Available
PLNOTME Women's Baggy Boyfriend Jeans Vintage Wide Leg Mid Rise Barrel Denim Ankle Pants,$47.98,4.1 out of 5 stars,448 ratings,Not Available
Gloria Vanderbilt Women's Amanda Capri Jeans,$10.29,4.3 out of 5 stars,"5,894 ratings",Not Available
Levi's Women's 725 High Rise Bootcut Jeans (Also Available in Plus),$48.65,4.3 out of 5 stars,"5,122 ratings",Not Available
GRAPENT Wide Leg Jeans for Women High Waisted Straight Leg Stretchy Cropped Denim Pants with Pockets Jean Trousers,$29.59,4.0 out of 5 stars,149 ratings,Not Available
GRAPENT Wide Leg Jeans for Women Stretch High Wasited Elastic Waist Bell Bottom Baggy Y2K Pants,$41.99,4.1 out of 5 stars,654 ratings,Not Available
Chic Classic Collection Womens Plus Size Stretch Elastic Waist Pull-On Pant,$16.79,4.4 out of 5 stars,"5,553 ratings",Not Available
Gloria Vanderbilt Womens Amanda Classic High Rise Tapered Jean Plus Size,$15.58,4.3 out of 5 stars,"28,087 ratings",Not Available
Democracy Women's Ab solution Jegging,$28.99,4.5 out of 5 stars,"15,770 ratings",Not Available
Lucky Brand Women's Mid Rise Sienna Boyfriend Jean,$19.97,4.1 out of 5 stars,514 ratings,Not Available
Levi's Women's 721 High Rise Skinny Jeans (Also Available in Plus),$35.77,4.4 out of 5 stars,"36,454 ratings",Not Available
Lee Women's Mid Rise Boyfriend Jean,$23.77,4.1 out of 5 stars,"1,394 ratings",Not Available
Sidefeel Women's High Waisted Jeans Strechy Raw Hem Straight Leg Denim Pants with Pockets,$30.01,4.1 out of 5 stars,785 ratings,Not Available
Women's Capri Jeans Skinny Jeggings Pull-On Denim Capris Pants with Pockets Regular & Plus Size,$9.97,4.1 out of 5 stars,693 ratings,Not Available
