title,price,rating,reviews,availability
"No Nonsense Women's Classic Denim Capri Leggings with Pockets, Comfortable Stretch Pull On Pants",$20.59,4.2 out of 5 stars,"14,694 ratings",Not Available
Lee Women's Flex Motion Regular Fit 5 Pocket Capri Jean,$29.90,4.3 out of 5 stars,"4,812 ratings",Not Available
luvamia Wide Leg Jeans for Women Trendy High Waisted Flare Jeans Cropped Denim Pants Stretchy Baggy with Patch Pockets,$26.14,4.3 out of 5 stars,513 ratings,Not Available
Lee Women's Relaxed Fit Capri Jean,$29.90,4.3 out of 5 stars,"10,161 ratings",Not Available
Signature by Levi Strauss & Co. Gold Women's Mid-Rise Slim Fit Capris (Available in Plus Size),$24.99,4.3 out of 5 stars,"31,561 ratings",Not Available
Levi's Women's Ribcage Straight Ankle Jeans,$54.82,4.2 out of 5 stars,"8,088 ratings",Not Available
Levi's Women's 311 Shaping Skinny Jeans (Also Available in Plus),$35.99,4.4 out of 5 stars,"19,894 ratings",Not Available
Levi's Women's Wedgie Straight Jeans,$37.61,4.2 out of 5 stars,"5,150 ratings",Not Available
"POSHGLAM Women's Maternity Jeans Over Belly Comfy Stretch Boyfriend Jeans Denim Pregnancy Pants, S-XXL",$31.98,4.5 out of 5 stars,317 ratings,Not Available
Levi's Women's 720 High Rise Super Skinny Jeans (Also Available in Plus),$34.75,4.4 out of 5 stars,"15,976 ratings",Not Available
Lee Women's Legendary Mid Rise Flare Jean,$16.34,4.0 out of 5 stars,"1,758 ratings",Not Available
Sidefeel Women's Wide Leg Jeans High Waisted Stretchy Straight Leg Jeans Buttoned Loose Denim Pants with Pocket,$39.50,4.3 out of 5 stars,"2,092 ratings",Not Available
Lee Women's Plus Size Relaxed Fit Denim Capri Jean,$29.90,4.4 out of 5 stars,"1,815 ratings",Not Available
No Nonsense Women's Stretch Denim Leggings with Pockets,$16.99,4.3 out of 5 stars,"39,746 ratings",Not Available
Dokotoo Womens Cargo Pants Women Baggy Wide Leg High Waist Casual Pants Jean Stretch Pants,$39.99,4.3 out of 5 stars,380 ratings,Not Available
Lee womens Legendary High Rise Wide Leg Crop Jean,$29.90,4.1 out of 5 stars,393 ratings,Not Available
"No Nonsense Women’s Classic Denim Leggings, Jeggings for Women with Real Back Pockets, High Waisted Stretch Jeans",$21.87,4.2 out of 5 stars,"29,806 ratings",Not Available
Gloria Vanderbilt Women's Amanda Pull on High Rise Jean Standard,$23.24,4.1 out of 5 stars,"6,325 ratings",Not Available
Womens Jeans Mid Waisted Straight Leg Loose Stretchy Lightweight Tummy Control Trendy Jeans for Women 2024,$45.99,3.9 out of 5 stars,"2,115 ratings",Not Available
GRAPENT Womens Flare Jeans High Waisted Wide Leg Baggy Jean for Women Stretch Denim Pants,$39.99,4.0 out of 5 stars,"4,681 ratings",Not Available
Nine West Womens High Rise Perfect Skinny Jean,$25.66,4.2 out of 5 stars,"3,097 ratings",Not Available
Riders by Lee Indigo Women's Ultra Soft Denim Capri,$24.23,4.3 out of 5 stars,"12,601 ratings",Not Available
Gloria Vanderbilt Women's Classic Tapered Amanda Jeans,$8.28,4.3 out of 5 stars,"66,432 ratings",Not Available
Mid Rise Barrel Jeans for Women Wide Leg Mid Waist Cropped Denim Pants Y2k Baggy Boyfriend Jeans with Pockets,$48.99,3.9 out of 5 stars,414 ratings,Not Available
Levi's Women's Low Pro Jeans (Seasonal),$44.99,4.1 out of 5 stars,935 ratings,Not Available
FTCayanz Women's Elastic Waist Cropped Jeans Baggy Drawstring Stretch Denim Pants with Pockets,$36.99,4.0 out of 5 stars,"1,391 ratings",Not Available
IUGA Jeggings for Women Tummy Control Pull on Stretchy Jeans High Waisted Skinny Jean Leggings with Pockets Trendy Casual,$37.99,4.4 out of 5 stars,675 ratings,Not Available
