Position,product_name,Price,ratings,
1,DARK BLUE HIGH WAIST SKINNY JEANS,1499,4.72,
2,BLACK MOM HIGH ANKLE JEANS,1500,4.76,
3,90'S BASIC BLUE STRAIGHT JEANS,1501,4.49,
4,BLACK SLOUCHY JEANS,1502,4.75,
5,MURKY CARGO JEANS,1503,4.76,
6,BLACK STRAIGHT FIT JEANS,1504,4.79,
7,MID BLUE SUPER WIDE JEANS,1505,4.48,
8,RIPPED WIDE LEG JEANS,1506,4.8,
9,90'S GOOD STRAIGHT JEANS,1507,4.76,
10,BLACK RIPPED BAGGY JEANS,1508,4.91,
11,GOOD BLUE CURVE STRAIGHT JEANS,1509,4.61,
12,CHARCOAL STRAIGHT JEANS,1510,4.81,
13,BLUE FISH CUT STRAIGHT JEANS,1511,4.53,
14,MAYTIME STRAIGHT JEANS,1512,4.61,
15,BLACK PATCH & POCKET CARGO JEANS,1513,4.75,
16,LIGHT BLUE HIGH WAIST MOM FIT JEANS,1514,4.79,
17,DECOLORED STRAIGHT JEANS,1515,4.88,
18,ECRU DENIM CARGO PANTS,1516,4.83,
19,BLUE DISTRESSED WIDE FLARE JEANS,1517,4.78,
20,JET BLACK WIDE JEANS,1518,4.86,
21,BLACK ELASTICATED DISTRESS MOM JEANS,1519,4.75,
22,VINTAGE BLUE STRETCH BOOTCUT JEANS,1520,4.78,
23,YORE BELLE STRAIGHT JEANS,1521,4.26,
24,VINTAGE FLARE JEANS,1522,5,
25,WHITE STRAIGHT FIT JEANS,1523,4.75,
26,90'S MID BLUE DISTRESSED STRAIGHT JEANS,1524,4.92,
27,BLACK DISTRESSED WIDE JEANS,1525,4.89,
28,WIDE CARGO UTILITY JEANS IN BLACK,1526,4.59,
29,LIGHT BLUE WIDE JEANS,1527,4.64,
30,WINDY BLUE DISTRESSED WIDE JEANS,1528,4.95,
31,MIDNIGHT BLUE DISTRESS WIDE JEANS,1529,4.85,
32,90'S VINTAGE DISTRESSED BOOTCUT JEANS,1530,4.69,
33,AMBER DISTRESSED SLOUCHY JEANS,1531,4.71,
34,CLASSIC SLOUCHY JEANS,1532,4.88,
35,MID BLUE DISTRESS BOOTCUT JEANS,1533,4.92,
36,BLACK ELASTICATED MOM JEANS,1534,4.94,
37,BLUE FADED DISTRESSED WIDE JEANS,1535,4.88,
38,NIGEL MOM JEANS,1536,4.54,
39,DENSE BLUE SIDE POCKET CARGO JEANS,1537,4.81,
40,POCKET PLAY CARGO PANTS,1538,4.94,
41,CHARCOAL STRAIGHT DISTRESS JEANS,1539,4.6,
42,BROWN WIDE LEG JEANS,1540,4.73,
43,JET BLACK SKINNY JEANS,1541,4.75,
44,MID DISTRESS WIDE JEANS,1542,5,
45,MODISH STRAIGHT JEANS,1543,4.92,
46,RETREAT DISTRESS WIDE LEG JEANS,1544,4.9,
47,70'S SLIM BLACK BOOTCUT JEANS,1545,4.64,
48,DARK BLUE BAGGY JEANS WITH SIDE POCKETS,1546,4.38,
49,AIRY BLUE STRAIGHT FIT JEANS,1547,5,
50,ELASTICATED HEAVY DISTRESSE MOM JEANS,1548,4.83,
51,BLUE LIGHT DISTRESSED WIDE JEANS,1549,4.82,
52,FAITHFUL SIN CARGO JEANS,1550,4.9,
53,DARK DARTED SLOUCHY JEANS,1551,5,
54,BLACK DOUBLE ZIPPED STRAIGHT JEANS,1552,4.67,
55,MID BLUE CARGO UTILITY JEANS,1553,4.8,
56,WIDE BLACK JEANS,1554,4.67,
57,WHITE WIDE LEG WITH DISTRESS,1555,4.73,
58,BOX RIPPED WIDE JEANS,1556,4.31,
59,WIDE MID BLUE JEANS,1557,4.27,
60,LIGHT BLUE RETRO BOOTCUT JEANS,1558,4.56,
61,CLASSIC BLACK WIDE JEANS,1559,4.67,
62,FRONT SEAM STRAIGHT JEANS,1560,5,
63,BLUE DANCE AROUND FRAY STRAIGHT FIT JEANS,1561,4.75,
64,WHITE WIDE LEG JEANS,1562,4.62,
65,KNEE SLIT WIDE LEG JEANS,1563,4.86,
66,CHARCOAL BLACK CARGO PANTS,1564,4.94,
67,90'S MOM FIT JEANS,1565,4.8,
68,TOO INDIGO DENIM UTILITY CARGO,1566,4.69,
69,MUDDLED CARGO JEANS,1567,4.29,
70,CURVE KNEE RIPPED WIDE LEG JEANS,1568,4.9,
71,DISTRESSED WIDE LEG JEANS,1569,4.89,
72,JET BLACK FLARE JEANS,1570,5,
73,DARK WASH SKINNY JEANS,1571,5,
74,WOOD BROWN STRAIGHT JEANS,1572,5,
75,ECRU STRAIGHT JEANS,1573,4.88,
76,CURVE LIGHT WASH DISTRESSED BOOTCUT JEANS,1574,5,
77,BLACK DISTRESS STRAIGHT JEANS,1575,4.8,
78,CHARCOAL UTILITY CARGO JEANS,1576,4.75,
79,INDIGO ELASTICATED MOM JEANS,1577,4.86,
80,WHITE ELASTICATED MOM JEANS,1578,4.6,
81,LIGHT BEIGE MOM JEANS,1579,4.9,
82,CURVE LIGHT WASH DISTRESSED STRAIGHT JEANS,1580,4.75,
83,WILDER DISTRESSED STRAIGHT JEANS,1581,4.88,
84,FALLON STRAIGHT PANTS,1582,4.67,
85,LIGHT INDIGO RIPPED CARGO JEANS,1583,5,
86,CURVE BLUE TINTED BOOTCUT JEANS,1584,4.55,
87,RETRO CHIC BLUE BOOTCUT JEANS,1585,4.8,
88,COIN GREY CARGO JEANS,1586,5,
89,BUTTERFLY INKED STRAIGHT JEANS,1587,4.33,
90,BLUE WIDE LEG RIPPED JEANS,1588,4.6,
91,PINSTRIPE STRAIGHT POCKET PANTS,1589,4.67,
92,CURVE BREZZY STRAIGHT JEANS,1590,4.82,
93,RETRO DISTRESSED BOOTCUT JEANS,1591,4.5,
94,PITCH BLACK BOOTCUT JEANS,1592,4.94,
95,CLASSIC WHITE WIDE JEANS,1593,4.7,
96,VINTAGE SKY DISTRESS BOOTCUT JEANS,1594,4.3,
97,INDIGO ELASTICATED DISTRESS MOM JEANS,1595,4.67,
98,WHITE BOOTCUT JEANS,1596,5,
99,BISQUE CARGO JEANS,1597,4.9,
100,KOALA CARGO JEANS,1598,4.52,
